% Model:              HMD_med2_10MHz_100_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jul 23 2014, 09:17
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1e7
0                         0                        1                        1.9713626401890284E-7
0.7071067812              0.7071067812             1                        1.3725606697454239E-6
1.4142135624              1.4142135624             1                        1.4032620075369778E-5
2.1213203436              2.1213203436             1                        3.115411519560777E-5
2.8284271247              2.8284271247             1                        4.0809724548675406E-5
3.5355339059              3.5355339059             1                        4.693668167664834E-5
4.2426406871              4.2426406871             1                        5.151827364339691E-5
4.9497474683              4.9497474683             1                        5.068436396665582E-5
5.6568542495              5.6568542495             1                        4.699655069977243E-5
6.3639610307              6.3639610307             1                        4.230179765802301E-5
7.0710678119              7.0710678119             1                        3.801941601227286E-5
7.7781745931              7.7781745931             1                        3.415014114280953E-5
8.4852813742              8.4852813742             1                        3.035574060173373E-5
9.1923881554              9.1923881554             1                        2.772048176204617E-5
9.8994949366              9.8994949366             1                        2.500347810926169E-5
10.6066017178             10.6066017178            1                        2.2861881216531966E-5
11.313708499              11.313708499             1                        2.082427475508273E-5
12.0208152802             12.0208152802            1                        1.909961203369137E-5
12.7279220614             12.7279220614            1                        1.760194878202695E-5
13.4350288425             13.4350288425            1                        1.6180860046663286E-5
14.1421356237             14.1421356237            1                        1.4967831378500785E-5
14.8492424049             14.8492424049            1                        1.3810022949035113E-5
15.5563491861             15.5563491861            1                        1.275862395419747E-5
16.2634559673             16.2634559673            1                        1.1898581537877088E-5
16.9705627485             16.9705627485            1                        1.107890117834713E-5
17.6776695297             17.6776695297            1                        1.0382965811292432E-5
18.3847763109             18.3847763109            1                        9.749552552842173E-6
19.091883092              19.091883092             1                        9.217911042772252E-6
19.7989898732             19.7989898732            1                        8.712972909717815E-6
20.5060966544             20.5060966544            1                        8.282770495363332E-6
21.2132034356             21.2132034356            1                        7.939118089923153E-6
21.9203102168             21.9203102168            1                        7.592842052819086E-6
22.627416998              22.627416998             1                        7.343466913250362E-6
23.3345237792             23.3345237792            1                        7.037690726401407E-6
24.0416305603             24.0416305603            1                        6.822121196409419E-6
24.7487373415             24.7487373415            1                        6.598509576000086E-6
25.4558441227             25.4558441227            1                        6.3841922774291455E-6
26.1629509039             26.1629509039            1                        6.191343087457529E-6
26.8700576851             26.8700576851            1                        6.024485459787352E-6
27.5771644663             27.5771644663            1                        5.8246499447491956E-6
28.2842712475             28.2842712475            1                        5.620641810992125E-6
28.9913780286             28.9913780286            1                        5.441631982887543E-6
29.6984848098             29.6984848098            1                        5.275771541741123E-6
30.405591591              30.405591591             1                        5.104311853894249E-6
31.1126983722             31.1126983722            1                        4.946760453540792E-6
31.8198051534             31.8198051534            1                        4.812542637050125E-6
32.5269119346             32.5269119346            1                        4.674410339351227E-6
33.2340187158             33.2340187158            1                        4.546660774361719E-6
33.941125497              33.941125497             1                        4.424009887212379E-6
34.6482322781             34.6482322781            1                        4.322553514625003E-6
35.3553390593             35.3553390593            1                        4.2067404532772085E-6
36.0624458405             36.0624458405            1                        4.156766104110378E-6
36.7695526217             36.7695526217            1                        4.008297841346745E-6
