% Model:              HMD_point_source_med2_1k_final_1600_ref_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 17 2016, 09:38
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hz) (A/m) @ freq=1000
0                         0                        0.5                      1.702235666001822E-4
0                         1                        0.5                      1.5997447648257026E-4
0                         2                        0.5                      1.4972538931142445E-4
0                         3                        0.5                      1.3947630573628704E-4
0                         4                        0.5                      1.2922722661276256E-4
0                         5                        0.5                      1.1897815309127043E-4
0                         6                        0.5                      1.0872908675599496E-4
0                         7                        0.5                      9.848002985059967E-5
0                         8                        0.5                      8.823098566125573E-5
0                         9                        0.5                      7.798195920171492E-5
0                         10                       0.5                      6.773295852034348E-5
0                         11                       0.5                      5.748399740535274E-5
0                         12                       0.5                      6.699003138884192E-5
0                         13                       0.5                      5.0014849819485994E-5
0                         14                       0.5                      4.603596084243197E-5
0                         15                       0.5                      4.205707202577468E-5
0                         16                       0.5                      3.80781834197951E-5
0                         17                       0.5                      3.4099295098242276E-5
0                         18                       0.5                      3.012040717383373E-5
0                         19                       0.5                      2.6141519827912638E-5
0                         20                       0.5                      2.216263337204867E-5
0                         21                       0.5                      1.81837483905169E-5
0                         22                       0.5                      1.4204866122230519E-5
0                         23                       0.5                      1.0225989734321105E-5
0                         24                       0.5                      6.247130462658328E-6
0                         25                       0.5                      9.891778168803514E-6
0                         26                       0.5                      6.268696250369597E-6
0                         27                       0.5                      5.8040354912051225E-6
0                         28                       0.5                      5.339376324250576E-6
0                         29                       0.5                      4.874719204815242E-6
0                         30                       0.5                      4.410064780096676E-6
0                         31                       0.5                      3.945414002171562E-6
0                         32                       0.5                      3.480768331481079E-6
0                         33                       0.5                      3.016130128389661E-6
0                         34                       0.5                      2.551503472532529E-6
0                         35                       0.5                      2.0868960765546258E-6
0                         36                       0.5                      1.622324487690615E-6
0                         37                       0.5                      2.0936897440403662E-6
0                         38                       0.5                      1.508851660994822E-6
0                         39                       0.5                      1.4239983829177889E-6
0                         40                       0.5                      1.3391477926455498E-6
0                         41                       0.5                      1.254300435649985E-6
0                         42                       0.5                      1.1694570156809211E-6
0                         43                       0.5                      1.0846184566511034E-6
0                         44                       0.5                      9.997859960113532E-7
0                         45                       0.5                      9.149613300363636E-7
0                         46                       0.5                      8.301468481134595E-7
0                         47                       0.5                      7.45346026844462E-7
0                         48                       0.5                      6.605641273655633E-7
0                         49                       0.5                      5.758095078417465E-7
0                         50                       0.5                      5.41573561130327E-7
0                         51                       0.5                      5.142124891281699E-7
0                         52                       0.5                      4.868558444313696E-7
0                         53                       0.5                      4.595044177809049E-7
0                         54                       0.5                      4.3215919993093784E-7
0                         55                       0.5                      4.0482144907516397E-7
0                         56                       0.5                      3.774927874798121E-7
0                         57                       0.5                      3.501753432051298E-7
0                         58                       0.5                      3.228719634777519E-7
0                         59                       0.5                      2.9558654575726887E-7
0                         60                       0.5                      2.6832456966711284E-7
0                         61                       0.5                      2.4109398740524127E-7
0                         62                       0.5                      2.929518102793155E-7
0                         63                       0.5                      2.227599121014633E-7
0                         64                       0.5                      2.1358530580695467E-7
0                         65                       0.5                      2.044153684150434E-7
0                         66                       0.5                      1.9525075775083163E-7
0                         67                       0.5                      1.860922608027998E-7
0                         68                       0.5                      1.7694082691546858E-7
0                         69                       0.5                      1.6779761171950962E-7
0                         70                       0.5                      1.5866403605865065E-7
0                         71                       0.5                      1.4954186620635485E-7
0                         72                       0.5                      1.4043332485185252E-7
0                         73                       0.5                      1.3134124744276324E-7
0                         74                       0.5                      1.2226930686441874E-7
0                         75                       0.5                      1.1686840455021752E-7
0                         76                       0.5                      1.129740321296989E-7
0                         77                       0.5                      1.0908350579797522E-7
0                         78                       0.5                      1.0519725227741748E-7
0                         79                       0.5                      1.0131576325659581E-7
0                         80                       0.5                      9.743960811611097E-8
0                         81                       0.5                      9.356944973324487E-8
0                         82                       0.5                      8.97060642596146E-8
0                         83                       0.5                      8.585036607099352E-8
0                         84                       0.5                      8.200343951386663E-8
0                         85                       0.5                      7.816657967245593E-8
0                         86                       0.5                      7.304030998031193E-8
0                         87                       0.5                      7.023413934207974E-8
0                         88                       0.5                      6.66778450042236E-8
0                         89                       0.5                      6.498971005314623E-8
0                         90                       0.5                      6.330395979145123E-8
0                         91                       0.5                      6.162078993216578E-8
0                         92                       0.5                      5.9940417854328E-8
0                         93                       0.5                      5.826308563181035E-8
0                         94                       0.5                      5.658906357441125E-8
0                         95                       0.5                      5.4918654382812874E-8
0                         96                       0.5                      5.3252198042049385E-8
0                         97                       0.5                      5.159007760705108E-8
0                         98                       0.5                      4.993272607012487E-8
0                         99                       0.5                      4.961937399762032E-8
0                         100                      0.5                      4.539601628723826E-8
0                         0                        -2                       4.8614690414032E-4
0                         1                        -2                       4.7589781223596786E-4
0                         2                        -2                       4.656487212003738E-4
0                         3                        -2                       4.1719875977995073E-4
0                         4                        -2                       4.2598900952752156E-4
0                         5                        -2                       4.3477925992013803E-4
0                         6                        -2                       4.43569510919452E-4
0                         7                        -2                       4.5235976249009455E-4
0                         8                        -2                       1.9624526819106653E-4
0                         9                        -2                       3.868199275963009E-6
0                         10                       -2                       2.039583687814167E-4
0                         11                       -2                       4.040598532128586E-4
0                         12                       -2                       6.04161409983211E-4
0                         13                       -2                       4.603898908326918E-5
0                         14                       -2                       4.2060100408945095E-5
0                         15                       -2                       3.808121197502498E-5
0                         16                       -2                       3.4102323865656305E-5
0                         17                       -2                       3.0123436209445334E-5
0                         18                       -2                       2.6144549213287603E-5
0                         19                       -2                       2.2165663232635277E-5
0                         20                       -2                       1.628175457536825E-5
0                         21                       -2                       1.4305697586421705E-5
0                         22                       -2                       1.2329643187144629E-5
0                         23                       -2                       1.0353592860305882E-5
0                         24                       -2                       8.377549487658956E-6
0                         25                       -2                       5.721671222704031E-6
0                         26                       -2                       5.2570145318453026E-6
0                         27                       -2                       4.792360403848337E-6
0                         28                       -2                       4.345360524803608E-6
0                         29                       -2                       3.825227789566804E-6
0                         30                       -2                       3.305104003434636E-6
0                         31                       -2                       2.784994180399271E-6
0                         32                       -2                       2.2649079398705942E-6
0                         33                       -2                       2.298000355773446E-6
0                         34                       -2                       2.1491241015056113E-6
0                         35                       -2                       2.0002507371483583E-6
0                         36                       -2                       1.8513809598529053E-6
0                         37                       -2                       1.702515710588957E-6
0                         38                       -2                       1.1339671333359228E-6
0                         39                       -2                       1.0491429618699373E-6
0                         40                       -2                       9.643276443852792E-7
0                         41                       -2                       8.795237423397896E-7
0                         42                       -2                       7.947349100690313E-7
0                         43                       -2                       7.099665467856631E-7
0                         44                       -2                       6.252269781098802E-7
0                         45                       -2                       5.667074870470156E-7
0                         46                       -2                       5.498789789149417E-7
0                         47                       -2                       5.330512786149406E-7
0                         48                       -2                       5.162244651472745E-7
0                         49                       -2                       4.993986281551577E-7
0                         50                       -2                       4.0723195649057584E-7
0                         51                       -2                       3.7992292844581754E-7
0                         52                       -2                       3.3789435318839366E-7
0                         53                       -2                       3.1764534079992545E-7
0                         54                       -2                       2.974082367963512E-7
0                         55                       -2                       2.771856494550968E-7
0                         56                       -2                       2.569810058749202E-7
0                         57                       -2                       2.3679889920403838E-7
0                         58                       -2                       2.166456279621554E-7
0                         59                       -2                       1.9653006317890441E-7
0                         60                       -2                       1.7646510000055208E-7
0                         61                       -2                       1.564702063346852E-7
0                         62                       -2                       1.7477417151039658E-7
0                         63                       -2                       1.6566087557041453E-7
0                         64                       -2                       1.565608378004382E-7
0                         65                       -2                       1.4747651250691888E-7
0                         66                       -2                       1.3841099349415813E-7
0                         67                       -2                       1.2936823439038184E-7
0                         68                       -2                       1.203533655073232E-7
0                         69                       -2                       1.113731595987169E-7
0                         70                       -2                       1.0760078070224538E-7
0                         71                       -2                       1.047590912930458E-7
0                         72                       -2                       1.0191942242511859E-7
0                         73                       -2                       9.908194782354662E-8
0                         74                       -2                       9.624686155744474E-8
0                         75                       -2                       8.779775875583139E-8
0                         76                       -2                       8.398321483568473E-8
0                         77                       -2                       7.818382748778012E-8
0                         78                       -2                       7.551974556095661E-8
0                         79                       -2                       7.286235937327508E-8
0                         80                       -2                       7.02124291859052E-8
0                         81                       -2                       6.757083221203682E-8
0                         82                       -2                       6.493858540471277E-8
0                         83                       -2                       6.231687362022797E-8
0                         84                       -2                       5.970708463934667E-8
0                         85                       -2                       5.711085299098094E-8
0                         86                       -2                       5.453011514274098E-8
0                         87                       -2                       5.143661897281389E-8
0                         88                       -2                       5.037273751613538E-8
0                         89                       -2                       4.9310621748610696E-8
0                         90                       -2                       4.825038827251638E-8
0                         91                       -2                       4.719216395242391E-8
0                         92                       -2                       4.613608704068461E-8
0                         93                       -2                       4.5082308450083714E-8
0                         94                       -2                       4.403099319571062E-8
0                         95                       -2                       4.298232203199857E-8
0                         96                       -2                       4.1936493315176004E-8
0                         97                       -2                       3.969303359863265E-8
0                         98                       -2                       3.8143557808341185E-8
0                         99                       -2                       3.8056940849391115E-8
0                         100                      -2                       3.710137752472752E-8
0                         0                        -7                       2.797288807319946E-4
0                         1                        -7                       7.918816889475357E-5
0                         2                        -7                       6.056412152850272E-5
0                         3                        -7                       4.194009904950627E-5
0                         4                        -7                       2.3316161094688524E-5
0                         5                        -7                       4.693313994666854E-6
0                         6                        -7                       1.3932817104219476E-5
0                         7                        -7                       3.2556596210517694E-5
0                         8                        -7                       5.118059094342081E-5
0                         9                        -7                       6.980462871449705E-5
0                         10                       -7                       8.842868233083563E-5
0                         11                       -7                       1.0705274352259685E-4
0                         12                       -7                       1.4304490504244205E-4
0                         13                       -7                       2.756359917913233E-5
0                         14                       -7                       2.315639077272877E-5
0                         15                       -7                       1.9936373696206233E-5
0                         16                       -7                       1.7259665744717365E-5
0                         17                       -7                       1.4582963559613523E-5
0                         18                       -7                       1.1906271029995907E-5
0                         19                       -7                       9.229596556485074E-6
0                         20                       -7                       6.552962265136251E-6
0                         21                       -7                       3.876451392469167E-6
0                         22                       -7                       1.200889439170064E-6
0                         23                       -7                       1.4788828855260333E-6
0                         24                       -7                       4.154726565028198E-6
0                         25                       -7                       5.818932291476775E-7
0                         26                       -7                       4.3397030742875634E-7
0                         27                       -7                       2.8705498529843125E-7
0                         28                       -7                       1.4425928286430978E-7
0                         29                       -7                       5.967207096577762E-8
0                         30                       -7                       1.7507315804297375E-7
0                         31                       -7                       3.195000853425756E-7
0                         32                       -7                       4.667438672908835E-7
0                         33                       -7                       6.147838726141036E-7
0                         34                       -7                       2.8028285115192985E-7
0                         35                       -7                       7.344488420077818E-7
0                         36                       -7                       1.191117839342282E-6
0                         37                       -7                       2.79061954150304E-7
0                         38                       -7                       2.356348215685995E-7
0                         39                       -7                       1.9844332804840182E-7
0                         40                       -7                       8.210110934593843E-8
0                         41                       -7                       7.05976700650511E-8
0                         42                       -7                       6.053718481183946E-8
0                         43                       -7                       1.3543388079444084E-7
0                         44                       -7                       1.1920168544226915E-7
0                         45                       -7                       1.0330418826494092E-7
0                         46                       -7                       8.792312875145259E-8
0                         47                       -7                       7.338395997338688E-8
0                         48                       -7                       6.029877568302893E-8
0                         49                       -7                       4.9826567932519044E-8
0                         50                       -7                       4.3879826236677E-8
0                         51                       -7                       5.7121450724372866E-8
0                         52                       -7                       4.936861459379675E-8
0                         53                       -7                       4.364706225525964E-8
0                         54                       -7                       4.082006789150926E-8
0                         55                       -7                       4.1483681181516345E-8
0                         56                       -7                       4.548537818487695E-8
0                         57                       -7                       5.206101627342627E-8
0                         58                       -7                       6.037536885827237E-8
0                         59                       -7                       6.980993393974455E-8
0                         60                       -7                       3.972961455342023E-8
0                         61                       -7                       3.903614878429149E-8
0                         62                       -7                       3.6870252913491516E-8
0                         63                       -7                       4.12396748320917E-8
0                         64                       -7                       3.959774421317832E-8
0                         65                       -7                       3.9949559973900965E-8
0                         66                       -7                       3.808093156383392E-8
0                         67                       -7                       3.6428828493326255E-8
0                         68                       -7                       3.502390515046514E-8
0                         69                       -7                       3.389691001473524E-8
0                         70                       -7                       3.307626452716615E-8
0                         71                       -7                       3.258512285630964E-8
0                         72                       -7                       3.2438455234740066E-8
0                         73                       -7                       3.164019524518575E-8
0                         74                       -7                       3.128530658281936E-8
0                         75                       -7                       3.3105593075988535E-8
0                         76                       -7                       3.25688414581675E-8
0                         77                       -7                       3.1779688805851235E-8
0                         78                       -7                       3.10347410410263E-8
0                         79                       -7                       3.033725476353488E-8
0                         80                       -7                       2.9690575034999763E-8
0                         81                       -7                       2.909808944668968E-8
0                         82                       -7                       2.8563170643389614E-8
0                         83                       -7                       2.8089107660738104E-8
0                         84                       -7                       2.7679027536510558E-8
0                         85                       -7                       2.841639517156236E-8
0                         86                       -7                       2.7040011184790037E-8
0                         87                       -7                       2.6649914552818574E-8
0                         88                       -7                       2.67058729699455E-8
0                         89                       -7                       2.720550532839024E-8
0                         90                       -7                       2.685252619002937E-8
0                         91                       -7                       2.6501496963766422E-8
0                         92                       -7                       2.6152496167210727E-8
0                         93                       -7                       2.580560609930788E-8
0                         94                       -7                       2.5460913032538017E-8
0                         95                       -7                       2.511850741324931E-8
0                         96                       -7                       2.4778484070048474E-8
0                         97                       -7                       2.4440942430091175E-8
0                         98                       -7                       2.4105986742997E-8
0                         99                       -7                       2.3972844242380128E-8
0                         100                      -7                       2.3687010512918408E-8
