% Model:              HMD_point_source_med2_100k_final_ref_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 16 2016, 13:14
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1e5
0                         0                        1                        1.2267839731805494E-6
0.7071067812              0.7071067812             1                        1.23624769719722E-5
1.4142135624              1.4142135624             1                        2.6235429235494233E-5
2.1213203436              2.1213203436             1                        4.655707957344645E-5
2.8284271247              2.8284271247             1                        6.354414675763533E-5
3.5355339059              3.5355339059             1                        7.717951409101517E-5
4.2426406871              4.2426406871             1                        8.039197892214564E-5
4.9497474683              4.9497474683             1                        8.307146698461701E-5
5.6568542495              5.6568542495             1                        7.91202451331323E-5
6.3639610307              6.3639610307             1                        7.814988275088908E-5
7.0710678119              7.0710678119             1                        6.853002840287094E-5
7.7781745931              7.7781745931             1                        6.405703540312214E-5
8.4852813742              8.4852813742             1                        5.626623081443046E-5
9.1923881554              9.1923881554             1                        4.818116048489089E-5
9.8994949366              9.8994949366             1                        4.2390311271508174E-5
10.6066017178             10.6066017178            1                        3.717508987728572E-5
11.313708499              11.313708499             1                        3.321555818713597E-5
12.0208152802             12.0208152802            1                        2.8437499451821822E-5
12.7279220614             12.7279220614            1                        2.4802588653368973E-5
13.4350288425             13.4350288425            1                        2.269491136009692E-5
14.1421356237             14.1421356237            1                        2.038271529355921E-5
14.8492424049             14.8492424049            1                        1.8164088984469733E-5
15.5563491861             15.5563491861            1                        1.6171378618876087E-5
16.2634559673             16.2634559673            1                        1.4405495779260702E-5
16.9705627485             16.9705627485            1                        1.3037508666587235E-5
17.6776695297             17.6776695297            1                        1.1588457420711997E-5
18.3847763109             18.3847763109            1                        1.0652555659298553E-5
19.091883092              19.091883092             1                        9.719060428676941E-6
19.7989898732             19.7989898732            1                        8.868157586342E-6
20.5060966544             20.5060966544            1                        7.970422366393372E-6
21.2132034356             21.2132034356            1                        7.126979285839685E-6
21.9203102168             21.9203102168            1                        6.608847589362198E-6
22.627416998              22.627416998             1                        6.091013754252286E-6
23.3345237792             23.3345237792            1                        5.573560803113626E-6
24.0416305603             24.0416305603            1                        5.056605667312784E-6
24.7487373415             24.7487373415            1                        4.728428036288259E-6
25.4558441227             25.4558441227            1                        4.296355034131631E-6
26.1629509039             26.1629509039            1                        4.037024210045509E-6
26.8700576851             26.8700576851            1                        3.7778419285008274E-6
27.5771644663             27.5771644663            1                        3.463405137922899E-6
28.2842712475             28.2842712475            1                        3.221342144913235E-6
28.9913780286             28.9913780286            1                        2.9794239121856744E-6
29.6984848098             29.6984848098            1                        2.8028550482600254E-6
30.405591591              30.405591591             1                        2.5509312541878834E-6
31.1126983722             31.1126983722            1                        2.4073314949622073E-6
31.8198051534             31.8198051534            1                        2.2638112936648946E-6
32.5269119346             32.5269119346            1                        2.120386805197566E-6
33.2340187158             33.2340187158            1                        1.977011546607711E-6
33.941125497              33.941125497             1                        1.8521308234992341E-6
34.6482322781             34.6482322781            1                        1.743345786245107E-6
35.3553390593             35.3553390593            1                        1.6434263317225502E-6
36.0624458405             36.0624458405            1                        1.5435567129910508E-6
36.7695526217             36.7695526217            1                        1.4529408011693382E-6
37.4766594029             37.4766594029            1                        1.3779188142524641E-6
38.1837661841             38.1837661841            1                        1.2961717406476875E-6
38.8908729653             38.8908729653            1                        1.2316458484835434E-6
39.5979797464             39.5979797464            1                        1.156139273987176E-6
40.3050865276             40.3050865276            1                        1.0976345283495559E-6
41.0121933088             41.0121933088            1                        1.0391536750805201E-6
41.71930009               41.71930009              1                        9.80700988416041E-7
42.4264068712             42.4264068712            1                        9.222818238291958E-7
43.1335136524             43.1335136524            1                        8.910036790315669E-7
43.8406204336             43.8406204336            1                        8.379339369347537E-7
44.5477272148             44.5477272148            1                        7.990140247805869E-7
45.2548339959             45.2548339959            1                        7.601047260044751E-7
45.9619407771             45.9619407771            1                        7.212077583779934E-7
46.6690475583             46.6690475583            1                        6.86719491033015E-7
47.3761543395             47.3761543395            1                        6.550741410193237E-7
48.0832611207             48.0832611207            1                        6.255788605458196E-7
48.7903679019             48.7903679019            1                        5.960897216595514E-7
49.4974746831             49.4974746831            1                        5.707562979119082E-7
50.2045814642             50.2045814642            1                        5.452502850860528E-7
50.9116882454             50.9116882454            1                        5.198453284319892E-7
51.6187950266             51.6187950266            1                        4.96872766746039E-7
52.3259018078             52.3259018078            1                        4.765154603029775E-7
