% Model:              HMD_point_source_med1_1k_final_800_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 17 2016, 10:28
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1000
0                         0                        1                        0.0030993826615265535
0.7071067812              0.7071067812             1                        3.4688075996989786E-5
1.4142135624              1.4142135624             1                        0.0012067317991283713
2.1213203436              2.1213203436             1                        0.0016380386000964266
2.8284271247              2.8284271247             1                        0.0010450460634834969
3.5355339059              3.5355339059             1                        0.0010005152905278537
4.2426406871              4.2426406871             1                        6.122825950016411E-4
4.9497474683              4.9497474683             1                        4.4619355396560554E-4
5.6568542495              5.6568542495             1                        3.2308439326263536E-4
6.3639610307              6.3639610307             1                        2.528396085152251E-4
7.0710678119              7.0710678119             1                        1.5879330011536757E-4
7.7781745931              7.7781745931             1                        1.3617912310389223E-4
8.4852813742              8.4852813742             1                        1.1356494637151002E-4
9.1923881554              9.1923881554             1                        9.09507701176214E-5
9.8994949366              9.8994949366             1                        7.620194739383429E-5
10.6066017178             10.6066017178            1                        6.494439936217477E-5
11.313708499              11.313708499             1                        5.5636768602799625E-5
12.0208152802             12.0208152802            1                        4.994172492935305E-5
12.7279220614             12.7279220614            1                        4.424668175246145E-5
13.4350288425             13.4350288425            1                        3.541574807322068E-5
14.1421356237             14.1421356237            1                        2.8351138568032117E-5
14.8492424049             14.8492424049            1                        2.8275436486747316E-5
15.5563491861             15.5563491861            1                        2.4555260848062007E-5
16.2634559673             16.2634559673            1                        1.9665964377696066E-5
16.9705627485             16.9705627485            1                        1.7467681417221792E-5
17.6776695297             17.6776695297            1                        1.4931594928361586E-5
18.3847763109             18.3847763109            1                        1.348646300879885E-5
19.091883092              19.091883092             1                        1.2041331859179148E-5
19.7989898732             19.7989898732            1                        1.0596201794029308E-5
20.5060966544             20.5060966544            1                        9.151073327426422E-6
21.2132034356             21.2132034356            1                        8.34544321385702E-6
21.9203102168             21.9203102168            1                        7.65126533288891E-6
22.627416998              22.627416998             1                        7.332130149202147E-6
23.3345237792             23.3345237792            1                        6.763364140851715E-6
24.0416305603             24.0416305603            1                        6.194598774882613E-6
24.7487373415             24.7487373415            1                        5.625834245941701E-6
25.4558441227             25.4558441227            1                        5.057070836556124E-6
26.1629509039             26.1629509039            1                        4.894753218413804E-6
26.8700576851             26.8700576851            1                        4.120142325921034E-6
27.5771644663             27.5771644663            1                        3.946452413918125E-6
28.2842712475             28.2842712475            1                        3.2018537686458755E-6
28.9913780286             28.9913780286            1                        3.073093385111048E-6
29.6984848098             29.6984848098            1                        2.944333198918246E-6
30.405591591              30.405591591             1                        2.815573237162364E-6
31.1126983722             31.1126983722            1                        2.6868135321104673E-6
31.8198051534             31.8198051534            1                        2.5580541225260955E-6
32.5269119346             32.5269119346            1                        2.4292950553910867E-6
33.2340187158             33.2340187158            1                        2.300536388205249E-6
33.941125497              33.941125497             1                        2.171778192104164E-6
34.6482322781             34.6482322781            1                        2.0430205561742315E-6
35.3553390593             35.3553390593            1                        1.9142635934104442E-6
36.0624458405             36.0624458405            1                        1.7855074494655E-6
36.7695526217             36.7695526217            1                        1.6567523152453822E-6
37.4766594029             37.4766594029            1                        1.6170830855699946E-6
38.1837661841             38.1837661841            1                        1.546577020651121E-6
38.8908729653             38.8908729653            1                        1.4760713914713997E-6
39.5979797464             39.5979797464            1                        1.4055662636130706E-6
40.3050865276             40.3050865276            1                        1.3350617164795771E-6
41.0121933088             41.0121933088            1                        1.251032473233912E-6
41.71930009               41.71930009              1                        1.1926409737376165E-6
42.4264068712             42.4264068712            1                        1.1126785032092188E-6
