% Model:              HMD_point_source_med2_100k_final_ref_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 16 2016, 13:14
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hy) (A/m) @ freq=1e5
0                         0                        1                        2.917569322316502E-4
0                         1                        1                        2.8505210344326263E-4
0                         2                        1                        2.288148468062709E-4
0                         3                        1                        1.6267412543046457E-4
0                         4                        1                        1.0081730259224963E-4
0                         5                        1                        3.033575552276585E-5
0                         6                        1                        1.1594105964426201E-5
0                         7                        1                        3.211809461592214E-5
0                         8                        1                        5.423825177007E-5
0                         9                        1                        6.117756653502503E-5
0                         10                       1                        6.348905322359734E-5
0                         11                       1                        5.8950957948593046E-5
0                         12                       1                        5.568776021364683E-5
0                         13                       1                        5.2669616579425646E-5
0                         14                       1                        4.849898216989324E-5
0                         15                       1                        4.387390970842864E-5
0                         16                       1                        3.956916707628114E-5
0                         17                       1                        3.5124392405072E-5
0                         18                       1                        3.132651935836934E-5
0                         19                       1                        2.8456917569594443E-5
0                         20                       1                        2.5983770256901317E-5
0                         21                       1                        2.308385136538988E-5
0                         22                       1                        2.074919740194338E-5
0                         23                       1                        1.8649305688591235E-5
0                         24                       1                        1.6764909894255648E-5
0                         25                       1                        1.5310823672932808E-5
0                         26                       1                        1.3943905337334377E-5
0                         27                       1                        1.2637038078989871E-5
0                         28                       1                        1.1501442673892387E-5
0                         29                       1                        1.0508447207908114E-5
0                         30                       1                        9.614538289144022E-6
0                         31                       1                        8.814095928480285E-6
0                         32                       1                        8.103149724392242E-6
0                         33                       1                        7.453877045767999E-6
0                         34                       1                        6.87037973514474E-6
0                         35                       1                        6.329850276696719E-6
0                         36                       1                        5.85483093303426E-6
0                         37                       1                        5.417956524526758E-6
0                         38                       1                        5.033631192180493E-6
0                         39                       1                        4.6764248403464815E-6
0                         40                       1                        4.347132440328682E-6
0                         41                       1                        4.043259223022206E-6
0                         42                       1                        3.7800751001339675E-6
0                         43                       1                        3.5232423832432443E-6
0                         44                       1                        3.2997772215792613E-6
0                         45                       1                        3.086365134440975E-6
0                         46                       1                        2.8897324079737702E-6
0                         47                       1                        2.7095679645243648E-6
0                         48                       1                        2.545830900266565E-6
0                         49                       1                        2.3908998704403004E-6
0                         50                       1                        2.2508848941246527E-6
0                         51                       1                        2.1201739947528136E-6
0                         52                       1                        1.9981100360948575E-6
0                         53                       1                        1.8858623692024597E-6
0                         54                       1                        1.7810653095753444E-6
0                         55                       1                        1.682461282900519E-6
0                         56                       1                        1.5916880269552547E-6
0                         57                       1                        1.5072859612242212E-6
0                         58                       1                        1.4262963104825875E-6
0                         59                       1                        1.3527915935888798E-6
0                         60                       1                        1.282582728088205E-6
0                         61                       1                        1.2179680423015797E-6
0                         62                       1                        1.1571736567115653E-6
0                         63                       1                        1.0999150568557451E-6
0                         64                       1                        1.0457688117785866E-6
0                         65                       1                        9.955040879780314E-7
0                         66                       1                        9.477557658262847E-7
0                         67                       1                        9.031084562460266E-7
0                         68                       1                        8.607789435799505E-7
0                         69                       1                        8.214978445975072E-7
0                         70                       1                        7.843704204236695E-7
0                         71                       1                        7.485777244847092E-7
0                         72                       1                        7.152207505299059E-7
0                         73                       1                        6.840894938230825E-7
0                         74                       1                        6.53969543503568E-7
0                         75                       1                        6.260580187754767E-7
0                         76                       1                        5.995028925165577E-7
0                         77                       1                        5.742096128048622E-7
0                         78                       1                        5.502059213698648E-7
0                         79                       1                        5.278747079183783E-7
0                         80                       1                        5.063398534195867E-7
0                         81                       1                        4.860261202799677E-7
0                         82                       1                        4.666694083345058E-7
0                         83                       1                        4.483121701779293E-7
0                         84                       1                        4.3095749354268247E-7
0                         85                       1                        4.1435394792256025E-7
0                         86                       1                        3.9868659134388347E-7
0                         87                       1                        3.8370435958637943E-7
0                         88                       1                        3.694903318297463E-7
0                         89                       1                        3.5587225649963864E-7
0                         90                       1                        3.4297923302398055E-7
0                         91                       1                        3.3072670449927103E-7
0                         92                       1                        3.1893050531208923E-7
0                         93                       1                        3.0777744739973255E-7
0                         94                       1                        2.9712842241993496E-7
0                         95                       1                        2.869219210051049E-7
0                         96                       1                        2.7726140234241396E-7
0                         97                       1                        2.679318468951267E-7
0                         98                       1                        2.592029725234415E-7
0                         99                       1                        2.507476096849071E-7
0                         100                      1                        2.4268163223384864E-7
0                         0                        -2.5                     0.0014766489071214792
0                         1                        -2.5                     0.0011961012823533026
0                         2                        -2.5                     7.681112376284806E-4
0                         3                        -2.5                     1.1026223489555454E-4
0                         4                        -2.5                     1.5303345421448925E-4
0                         5                        -2.5                     2.9565048372691183E-4
0                         6                        -2.5                     3.245403110005502E-4
0                         7                        -2.5                     3.00752019962087E-4
0                         8                        -2.5                     2.5694091538878456E-4
0                         9                        -2.5                     2.1138675960338915E-4
0                         10                       -2.5                     1.8126956143060582E-4
0                         11                       -2.5                     1.5055709536792013E-4
0                         12                       -2.5                     1.2140116762215349E-4
0                         13                       -2.5                     1.0380316576577323E-4
0                         14                       -2.5                     8.673729041265227E-5
0                         15                       -2.5                     7.250908781580514E-5
0                         16                       -2.5                     6.214514033202173E-5
0                         17                       -2.5                     5.301059931760926E-5
0                         18                       -2.5                     4.538580036375065E-5
0                         19                       -2.5                     3.9481422507471775E-5
0                         20                       -2.5                     3.429526472336528E-5
0                         21                       -2.5                     2.9856677038049972E-5
0                         22                       -2.5                     2.6326524707593603E-5
0                         23                       -2.5                     2.3192863708813357E-5
0                         24                       -2.5                     2.0587970530527013E-5
0                         25                       -2.5                     1.834259447284858E-5
0                         26                       -2.5                     1.638098126764287E-5
0                         27                       -2.5                     1.4704515658001386E-5
0                         28                       -2.5                     1.3219137156708747E-5
0                         29                       -2.5                     1.196149431776651E-5
0                         30                       -2.5                     1.0830638239568182E-5
0                         31                       -2.5                     9.822938385004572E-6
0                         32                       -2.5                     8.950526686512905E-6
0                         33                       -2.5                     8.171834013664056E-6
0                         34                       -2.5                     7.467229892279477E-6
0                         35                       -2.5                     6.857464762439196E-6
0                         36                       -2.5                     6.3066905941131124E-6
0                         37                       -2.5                     5.793638685401307E-6
0                         38                       -2.5                     5.359050123875733E-6
0                         39                       -2.5                     4.951883645623414E-6
0                         40                       -2.5                     4.5777403650680515E-6
0                         41                       -2.5                     4.253830877652817E-6
0                         42                       -2.5                     3.954120938801168E-6
0                         43                       -2.5                     3.668243500049955E-6
0                         44                       -2.5                     3.4283159465197084E-6
0                         45                       -2.5                     3.197610365116404E-6
0                         46                       -2.5                     2.9826228901343304E-6
0                         47                       -2.5                     2.7949652447784454E-6
0                         48                       -2.5                     2.6187223680525388E-6
0                         49                       -2.5                     2.4510271052916863E-6
0                         50                       -2.5                     2.3053002454192416E-6
0                         51                       -2.5                     2.165846178205905E-6
0                         52                       -2.5                     2.036401444220578E-6
0                         53                       -2.5                     1.9190217747694525E-6
0                         54                       -2.5                     1.8085422967940388E-6
0                         55                       -2.5                     1.706018940429067E-6
0                         56                       -2.5                     1.6116496367063277E-6
0                         57                       -2.5                     1.5229587604371566E-6
0                         58                       -2.5                     1.4405417220235015E-6
0                         59                       -2.5                     1.3639334613715408E-6
0                         60                       -2.5                     1.2922309117945714E-6
0                         61                       -2.5                     1.2235952320759226E-6
0                         62                       -2.5                     1.1624432104478334E-6
0                         63                       -2.5                     1.1038119675827117E-6
0                         64                       -2.5                     1.0473269995403345E-6
0                         65                       -2.5                     9.968070484173482E-7
0                         66                       -2.5                     9.482205725256465E-7
0                         67                       -2.5                     9.026058429304968E-7
0                         68                       -2.5                     8.595199426271718E-7
0                         69                       -2.5                     8.190981592488347E-7
0                         70                       -2.5                     7.808595086352041E-7
0                         71                       -2.5                     7.449997831329566E-7
0                         72                       -2.5                     7.11104739933582E-7
0                         73                       -2.5                     6.791800989935663E-7
0                         74                       -2.5                     6.489408264513512E-7
0                         75                       -2.5                     6.202661819246493E-7
0                         76                       -2.5                     5.933183445788559E-7
0                         77                       -2.5                     5.67742027031417E-7
0                         78                       -2.5                     5.435647502639912E-7
0                         79                       -2.5                     5.205422544170802E-7
0                         80                       -2.5                     4.987613600599804E-7
0                         81                       -2.5                     4.780367091002137E-7
0                         82                       -2.5                     4.5845668071217034E-7
0                         83                       -2.5                     4.3978355788306866E-7
0                         84                       -2.5                     4.221027875294947E-7
0                         85                       -2.5                     4.0514022077984655E-7
0                         86                       -2.5                     3.8919141228927164E-7
0                         87                       -2.5                     3.7396881131651364E-7
0                         88                       -2.5                     3.59452669694004E-7
0                         89                       -2.5                     3.4566313467903023E-7
0                         90                       -2.5                     3.324527001835028E-7
0                         91                       -2.5                     3.1988920457388643E-7
0                         92                       -2.5                     3.078258186662954E-7
