% Model:              HMD_point_source_med1_1k_final_800_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 17 2016, 10:27
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hy) (A/m) @ freq=1000
0                         0                        1                        0.010094499806761487
0                         1                        1                        0.007088321606616609
0                         2                        1                        2.217669483470069E-4
0                         3                        1                        0.0012510039866462652
0                         4                        1                        0.0011824640288643448
0                         5                        1                        8.6254389437786E-4
0                         6                        1                        7.281518094208345E-4
0                         7                        1                        5.591784540588794E-4
0                         8                        1                        4.3051825601743025E-4
0                         9                        1                        3.240096446913694E-4
0                         10                       1                        2.3913718430658459E-4
0                         11                       1                        1.9645138639276123E-4
0                         12                       1                        1.5096846621938587E-4
0                         13                       1                        1.2062846622042544E-4
0                         14                       1                        1.0156022137962973E-4
0                         15                       1                        8.785782510348866E-5
0                         16                       1                        7.081180945474927E-5
0                         17                       1                        5.9796098433286344E-5
0                         18                       1                        5.085629083231646E-5
0                         19                       1                        4.3557761132493224E-5
0                         20                       1                        3.730526514809694E-5
0                         21                       1                        3.254601962989462E-5
0                         22                       1                        2.854338682442268E-5
0                         23                       1                        2.506691572049635E-5
0                         24                       1                        2.2038785014044137E-5
0                         25                       1                        1.9499707283886746E-5
0                         26                       1                        1.7327930288239423E-5
0                         27                       1                        1.5661618174930842E-5
0                         28                       1                        1.410732312467248E-5
0                         29                       1                        1.2674650751816597E-5
0                         30                       1                        1.1421793949232404E-5
0                         31                       1                        1.0386391143686012E-5
0                         32                       1                        9.520858947751447E-6
0                         33                       1                        8.652317618040587E-6
0                         34                       1                        7.921428443767603E-6
0                         35                       1                        7.267102543648159E-6
0                         36                       1                        6.682977551847394E-6
0                         37                       1                        6.167262779096093E-6
0                         38                       1                        5.694186478527338E-6
0                         39                       1                        5.274231344160927E-6
0                         40                       1                        4.889802086373892E-6
0                         41                       1                        4.541067414627402E-6
0                         42                       1                        4.2297730660127056E-6
0                         43                       1                        3.946784635604197E-6
0                         44                       1                        3.6844467822908257E-6
0                         45                       1                        3.454999303377108E-6
0                         46                       1                        3.2315641360396945E-6
0                         47                       1                        3.0224040018481947E-6
0                         48                       1                        2.84051623841792E-6
0                         49                       1                        2.6741627016705107E-6
0                         50                       1                        2.5161425998546554E-6
0                         51                       1                        2.367890899362568E-6
0                         52                       1                        2.2261803442591843E-6
0                         53                       1                        2.1117013541591673E-6
0                         54                       1                        1.9972224381019057E-6
0                         55                       1                        1.8912860479153232E-6
0                         56                       1                        1.7922321526287817E-6
0                         57                       1                        1.6995735512840666E-6
0                         58                       1                        1.611363541200117E-6
0                         59                       1                        1.53353676879328E-6
0                         60                       1                        1.4585021826982772E-6
0                         61                       1                        1.383467700975603E-6
0                         62                       1                        1.3202021526606485E-6
0                         63                       1                        1.2592356769028441E-6
0                         64                       1                        1.1998119294401699E-6
0                         65                       1                        1.1479261160335918E-6
0                         66                       1                        1.096040411923533E-6
0                         67                       1                        1.0466640100800336E-6
0                         68                       1                        1.0014194909341577E-6
0                         69                       1                        9.581043132149374E-7
0                         70                       1                        9.175560768002034E-7
0                         71                       1                        8.791291224577072E-7
0                         72                       1                        8.445155551946265E-7
0                         73                       1                        8.099602223623418E-7
0                         74                       1                        7.786225709222211E-7
0                         75                       1                        7.466830382757658E-7
0                         76                       1                        7.1722935911155E-7
0                         77                       1                        6.899343743538626E-7
0                         78                       1                        6.631944205071896E-7
0                         79                       1                        6.386780429486276E-7
0                         80                       1                        6.153182567719972E-7
0                         81                       1                        5.920821241051684E-7
0                         82                       1                        5.70848373205863E-7
0                         83                       1                        5.504614551753605E-7
0                         84                       1                        5.309002794202437E-7
0                         85                       1                        5.131523525623069E-7
0                         86                       1                        4.953288684129719E-7
0                         87                       1                        4.779291983881416E-7
0                         88                       1                        4.616173283805402E-7
0                         89                       1                        4.461743869291623E-7
0                         90                       1                        4.315461414522096E-7
0                         91                       1                        4.173809194028476E-7
0                         92                       1                        4.041267551037071E-7
0                         93                       1                        3.911403667185344E-7
0                         94                       1                        3.7837483445378406E-7
0                         95                       1                        3.6672827776836577E-7
0                         96                       1                        3.553913259205331E-7
0                         97                       1                        3.440904684314147E-7
0                         98                       1                        3.337299758092532E-7
0                         99                       1                        3.2406574684503076E-7
0                         100                      1                        3.145106579157108E-7
0                         0                        -2                       2.553631368813344
0                         1                        -2                       0.26463672167896657
0                         2                        -2                       0.041072284657578534
0                         3                        -2                       0.0131441655962061
0                         4                        -2                       0.005321733938425583
0                         5                        -2                       0.0027228875360157316
0                         6                        -2                       0.0015469381272791368
0                         7                        -2                       9.618339431667112E-4
0                         8                        -2                       6.407072753786283E-4
0                         9                        -2                       4.499566084311808E-4
0                         10                       -2                       3.243063087226477E-4
0                         11                       -2                       2.4448827630046505E-4
0                         12                       -2                       1.857569082006071E-4
0                         13                       -2                       1.4568668426083515E-4
0                         14                       -2                       1.1663209097603103E-4
0                         15                       -2                       9.686193889414565E-5
0                         16                       -2                       7.812413412557955E-5
0                         17                       -2                       6.548266257563526E-5
0                         18                       -2                       5.556409270087952E-5
0                         19                       -2                       4.69534380126223E-5
0                         20                       -2                       3.987055948174504E-5
0                         21                       -2                       3.475089741679106E-5
0                         22                       -2                       2.9980793298640097E-5
0                         23                       -2                       2.6248071079288743E-5
0                         24                       -2                       2.316254409603868E-5
0                         25                       -2                       2.0503359019348325E-5
0                         26                       -2                       1.812106416529363E-5
0                         27                       -2                       1.613188606663638E-5
0                         28                       -2                       1.4476132852748749E-5
0                         29                       -2                       1.3085389442017982E-5
0                         30                       -2                       1.1819744593444925E-5
0                         31                       -2                       1.0702939623564824E-5
0                         32                       -2                       9.752173024846228E-6
0                         33                       -2                       8.868199270348861E-6
0                         34                       -2                       8.105329319865978E-6
0                         35                       -2                       7.431939307805648E-6
0                         36                       -2                       6.828336809819972E-6
0                         37                       -2                       6.286985944542859E-6
0                         38                       -2                       5.800609515051489E-6
0                         39                       -2                       5.3633931326730476E-6
0                         40                       -2                       4.968871819431128E-6
0                         41                       -2                       4.617023572005675E-6
0                         42                       -2                       4.295476991593827E-6
0                         43                       -2                       3.99713629852004E-6
0                         44                       -2                       3.7240373166374347E-6
0                         45                       -2                       3.4905278311354005E-6
0                         46                       -2                       3.2648378596234466E-6
0                         47                       -2                       3.0635003115672613E-6
0                         48                       -2                       2.877585734326667E-6
0                         49                       -2                       2.705331604669371E-6
0                         50                       -2                       2.5417700396296587E-6
0                         51                       -2                       2.395492311206621E-6
0                         52                       -2                       2.259529943772875E-6
0                         53                       -2                       2.1353417774375344E-6
0                         54                       -2                       2.016393067481972E-6
0                         55                       -2                       1.9025202559621942E-6
0                         56                       -2                       1.8068973028982634E-6
0                         57                       -2                       1.7143706032694952E-6
0                         58                       -2                       1.6286010458512095E-6
0                         59                       -2                       1.5453524822342828E-6
0                         60                       -2                       1.4690838308167272E-6
0                         61                       -2                       1.3970341893138784E-6
0                         62                       -2                       1.3315619231173926E-6
0                         63                       -2                       1.2692534783010502E-6
0                         64                       -2                       1.2099440329526485E-6
0                         65                       -2                       1.1546989774089875E-6
0                         66                       -2                       1.102830597966008E-6
0                         67                       -2                       1.0529151375178627E-6
0                         68                       -2                       1.007474633442E-6
0                         69                       -2                       9.643336059267826E-7
0                         70                       -2                       9.238721385971042E-7
0                         71                       -2                       8.849105841229976E-7
0                         72                       -2                       8.482815944494569E-7
0                         73                       -2                       8.141223278427201E-7
0                         74                       -2                       7.811078706939516E-7
0                         75                       -2                       7.50216344842214E-7
0                         76                       -2                       7.21023578076355E-7
0                         77                       -2                       6.929542213587343E-7
0                         78                       -2                       6.665188476291554E-7
0                         79                       -2                       6.416563631936022E-7
0                         80                       -2                       6.177443823653666E-7
0                         81                       -2                       5.946716509527918E-7
0                         82                       -2                       5.731257813918529E-7
0                         83                       -2                       5.51745452306796E-7
0                         84                       -2                       5.330779963539768E-7
0                         85                       -2                       5.143542255635254E-7
0                         86                       -2                       4.965823620397049E-7
0                         87                       -2                       4.795665906183303E-7
0                         88                       -2                       4.632185061087292E-7
0                         89                       -2                       4.4778022117267414E-7
0                         90                       -2                       4.3291095232207807E-7
0                         91                       -2                       4.187608249944578E-7
0                         92                       -2                       4.051934698823831E-7
0                         93                       -2                       3.921857702250082E-7
0                         94                       -2                       3.7972529084050416E-7
0                         95                       -2                       3.6775593964204377E-7
0                         96                       -2                       3.5631938202357275E-7
0                         97                       -2                       3.4541969553700707E-7
0                         98                       -2                       3.349753138264045E-7
0                         99                       -2                       3.2481249587940745E-7
0                         100                      -2                       3.1485978021964067E-7
0                         0                        -7                       0.001415363798618592
0                         1                        -7                       0.001135491423745261
0                         2                        -7                       7.280242859613746E-4
0                         3                        -7                       2.160165822876177E-4
0                         4                        -7                       4.3448929521016616E-5
0                         5                        -7                       1.9054106111274102E-4
0                         6                        -7                       2.466745946510758E-4
0                         7                        -7                       2.3498346537273785E-4
0                         8                        -7                       2.0198927731177293E-4
0                         9                        -7                       2.0057535284542894E-4
0                         10                       -7                       1.6817323297921795E-4
0                         11                       -7                       1.3277118651792207E-4
0                         12                       -7                       1.1396978490483026E-4
0                         13                       -7                       9.54567249960608E-5
0                         14                       -7                       8.104845421547338E-5
0                         15                       -7                       7.006293629968532E-5
0                         16                       -7                       5.9194631392954334E-5
0                         17                       -7                       5.221353105956874E-5
0                         18                       -7                       4.392752992990824E-5
0                         19                       -7                       3.655404105358526E-5
0                         20                       -7                       3.287701203810325E-5
0                         21                       -7                       2.919998347017282E-5
0                         22                       -7                       2.568161200863962E-5
0                         23                       -7                       2.2885440773879566E-5
0                         24                       -7                       2.0437910303429797E-5
0                         25                       -7                       1.8109196091740338E-5
0                         26                       -7                       1.6192211402139853E-5
0                         27                       -7                       1.4648290876109463E-5
0                         28                       -7                       1.3202474066271434E-5
0                         29                       -7                       1.2033170257023406E-5
0                         30                       -7                       1.0901952343027248E-5
0                         31                       -7                       9.892553553767143E-6
0                         32                       -7                       9.04224917695458E-6
0                         33                       -7                       8.248350353817695E-6
0                         34                       -7                       7.592154620278794E-6
0                         35                       -7                       6.9773410375495946E-6
0                         36                       -7                       6.442952932403796E-6
0                         37                       -7                       5.948015675489755E-6
0                         38                       -7                       5.506262192255225E-6
0                         39                       -7                       5.0988473297970566E-6
0                         40                       -7                       4.742753432697385E-6
0                         41                       -7                       4.402292645496291E-6
0                         42                       -7                       4.10626960637168E-6
0                         43                       -7                       3.864385199327857E-6
0                         44                       -7                       3.611570461371011E-6
0                         45                       -7                       3.372808295048169E-6
0                         46                       -7                       3.1453725792442383E-6
0                         47                       -7                       2.9509509945600477E-6
0                         48                       -7                       2.779460914784382E-6
0                         49                       -7                       2.614797216697696E-6
0                         50                       -7                       2.463198719225726E-6
0                         51                       -7                       2.323957930360634E-6
0                         52                       -7                       2.2009512726103288E-6
0                         53                       -7                       2.074096567526839E-6
0                         54                       -7                       1.9686526766862904E-6
0                         55                       -7                       1.8587430178786948E-6
0                         56                       -7                       1.7637603648546266E-6
0                         57                       -7                       1.6787689996589042E-6
0                         58                       -7                       1.5998888744013399E-6
0                         59                       -7                       1.519586836412566E-6
0                         60                       -7                       1.4394803624758888E-6
0                         61                       -7                       1.368330286251119E-6
0                         62                       -7                       1.3046279714014497E-6
0                         63                       -7                       1.2439070873487303E-6
0                         64                       -7                       1.1869991061591943E-6
0                         65                       -7                       1.132523551457979E-6
0                         66                       -7                       1.0840942426929399E-6
0                         67                       -7                       1.0356649533068107E-6
0                         68                       -7                       9.87235686151505E-7
0                         69                       -7                       9.477865101543776E-7
0                         70                       -7                       9.101487164162724E-7
0                         71                       -7                       8.747398004307433E-7
0                         72                       -7                       8.369987709101987E-7
0                         73                       -7                       8.023198874902048E-7
0                         74                       -7                       7.707331584256314E-7
0                         75                       -7                       7.400035165302741E-7
0                         76                       -7                       7.116174011821306E-7
0                         77                       -7                       6.842604435686958E-7
0                         78                       -7                       6.585222136255218E-7
0                         79                       -7                       6.338051156278626E-7
0                         80                       -7                       6.10317045841152E-7
0                         81                       -7                       5.881139770029709E-7
0                         82                       -7                       5.666489983708758E-7
0                         83                       -7                       5.465699434929836E-7
0                         84                       -7                       5.276624341950265E-7
0                         85                       -7                       5.094926023490638E-7
0                         86                       -7                       4.917741822449239E-7
0                         87                       -7                       4.7477750439611175E-7
0                         88                       -7                       4.591063801903426E-7
0                         89                       -7                       4.438540180499085E-7
0                         90                       -7                       4.2885298638827404E-7
0                         91                       -7                       4.1515215546743274E-7
0                         92                       -7                       4.0182932471520214E-7
0                         93                       -7                       3.888565174713742E-7
0                         94                       -7                       3.765067331777908E-7
0                         95                       -7                       3.644496942649785E-7
0                         96                       -7                       3.5363530305490054E-7
0                         97                       -7                       3.4269579199511776E-7
0                         98                       -7                       3.3226454225671705E-7
0                         99                       -7                       3.226438959916948E-7
0                         100                      -7                       3.1254443992627963E-7
