% Model:              HMD_point_source_med2_100k_final_ref_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jun 16 2016, 13:14
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hz) (A/m) @ freq=1e5
0                         0                        1                        1.7085786192798715E-5
0                         1                        1                        8.834405404425045E-5
0                         2                        1                        1.871177350515759E-4
0                         3                        1                        2.4742593245330566E-4
0                         4                        1                        2.5264594330439376E-4
0                         5                        1                        2.4410862132726252E-4
0                         6                        1                        2.223480886548625E-4
0                         7                        1                        1.9244127790183274E-4
0                         8                        1                        1.610123790937114E-4
0                         9                        1                        1.3721591811124065E-4
0                         10                       1                        1.1122298757805121E-4
0                         11                       1                        9.011281367479957E-5
0                         12                       1                        7.415628861059593E-5
0                         13                       1                        5.967351870508929E-5
0                         14                       1                        4.861011501282851E-5
0                         15                       1                        3.993147800441373E-5
0                         16                       1                        3.3320107268391977E-5
0                         17                       1                        2.7470286373946522E-5
0                         18                       1                        2.3192342033990778E-5
0                         19                       1                        1.8964565483721497E-5
0                         20                       1                        1.6282209027538894E-5
0                         21                       1                        1.379096396413168E-5
0                         22                       1                        1.1573307665500392E-5
0                         23                       1                        9.876949463234544E-6
0                         24                       1                        8.545153511759796E-6
0                         25                       1                        7.351308026647067E-6
0                         26                       1                        6.3832116315739034E-6
0                         27                       1                        5.552858316602801E-6
0                         28                       1                        4.834327006344787E-6
0                         29                       1                        4.2210256692362245E-6
0                         30                       1                        3.708622376819115E-6
0                         31                       1                        3.2934538746288437E-6
0                         32                       1                        2.9007944772898128E-6
0                         33                       1                        2.5832904898312947E-6
0                         34                       1                        2.292202412526666E-6
0                         35                       1                        2.0467719871285345E-6
0                         36                       1                        1.8326719075510814E-6
0                         37                       1                        1.6440976122422852E-6
0                         38                       1                        1.4698250391277874E-6
0                         39                       1                        1.326352219931283E-6
0                         40                       1                        1.2005184051996911E-6
0                         41                       1                        1.0880586787979872E-6
0                         42                       1                        9.846523374287931E-7
0                         43                       1                        8.984540455760197E-7
0                         44                       1                        8.124840227945224E-7
0                         45                       1                        7.415546704475854E-7
0                         46                       1                        6.76189144539816E-7
0                         47                       1                        6.180619423844816E-7
0                         48                       1                        5.669415752209898E-7
0                         49                       1                        5.195892734622618E-7
0                         50                       1                        4.7535205972935454E-7
0                         51                       1                        4.373330946449497E-7
0                         52                       1                        4.0251264198523603E-7
0                         53                       1                        3.705283586300729E-7
0                         54                       1                        3.415047817214421E-7
0                         55                       1                        3.1489671536825667E-7
0                         56                       1                        2.907994500541025E-7
0                         57                       1                        2.689174519588813E-7
0                         58                       1                        2.484496590007247E-7
0                         59                       1                        2.2958121938012644E-7
0                         60                       1                        2.1275256592348477E-7
0                         61                       1                        1.9680940351847967E-7
0                         62                       1                        1.8228512368231378E-7
0                         63                       1                        1.6887187430488863E-7
0                         64                       1                        1.563907325403872E-7
0                         65                       1                        1.4517871036990354E-7
0                         66                       1                        1.3446341589081433E-7
0                         67                       1                        1.2464259427741176E-7
0                         68                       1                        1.1551182960134457E-7
0                         69                       1                        1.0717894068574703E-7
0                         70                       1                        9.928128838184588E-8
0                         71                       1                        9.200600407023901E-8
0                         72                       1                        8.52004071950394E-8
0                         73                       1                        7.889265793997924E-8
0                         74                       1                        7.290721515367571E-8
0                         75                       1                        6.756429374470753E-8
0                         76                       1                        6.242839755539948E-8
0                         77                       1                        5.758464068600068E-8
0                         78                       1                        5.3107231669301617E-8
0                         79                       1                        4.898027655043871E-8
0                         80                       1                        4.5109850500019686E-8
0                         81                       1                        4.1500847232260116E-8
0                         82                       1                        3.8089908866090516E-8
0                         83                       1                        3.488704628175386E-8
0                         84                       1                        3.1945802741001115E-8
0                         85                       1                        2.9131587201161226E-8
0                         86                       1                        2.6550186846707785E-8
0                         87                       1                        2.412485392369008E-8
0                         88                       1                        2.1830803073774835E-8
0                         89                       1                        1.9722257023620455E-8
0                         90                       1                        1.775968508149234E-8
0                         91                       1                        1.588448902713928E-8
0                         92                       1                        1.415959281085665E-8
0                         93                       1                        1.2537758920756801E-8
0                         94                       1                        1.1020996520044049E-8
0                         95                       1                        9.626379962381498E-9
0                         96                       1                        8.313130621271528E-9
0                         97                       1                        7.156912788975297E-9
0                         98                       1                        6.0174738416800246E-9
0                         99                       1                        4.958135580962993E-9
0                         100                      1                        4.085142090294854E-9
0                         0                        -2.5                     1.31371477498243E-5
